file_id,title,text,label,label_name,rating_float,dataset,topic_score
story_reviews_00098,How barbershops could help lower blood pressure,How barbershops could help lower blood pressure,1,Real,5,HealthStory,0.6769032
story_reviews_00922,Patient's own stem cells help heal heart,Patient's own stem cells help heal heart,1,Real,4,HealthStory,0.6721967
story_reviews_01357,Viagra may help heart effects of muscular dystrophy,Viagra may help heart effects of muscular dystrophy,0,Fake,2,HealthStory,0.63178164
story_reviews_01008,Yoga shows some benefit for diabetes,Yoga shows some benefit for diabetes,0,Fake,2,HealthStory,0.6243953
story_reviews_01239,Antidepressants relieve hot flashes,Antidepressants relieve hot flashes,0,Fake,2,HealthStory,0.6218349
story_reviews_00848,Botox may help multiple sclerosis tremors,Botox may help multiple sclerosis tremors,1,Real,5,HealthStory,0.6102887
story_reviews_01193,"More unusual, fewer usual breaks with bone drugs","More unusual, fewer usual breaks with bone drugs",1,Real,5,HealthStory,0.59996736
story_reviews_00700,Curcumin may help lower inflammation in metabolic syndrome,Curcumin may help lower inflammation in metabolic syndrome,1,Real,3,HealthStory,0.59883106
story_reviews_01686,Using CT scans to see plaque in coronary arteries,Using CT scans to see plaque in coronary arteries,1,Real,3,HealthStory,0.5981843
story_reviews_01015,"Bran, soy help cut cholesterol","Bran, soy help cut cholesterol",0,Fake,2,HealthStory,0.59278136
story_reviews_00329,New statin guidelines: Everyone 40 and older should be considered for the drug therapy,New statin guidelines: Everyone 40 and older should be considered for the drug therapy,1,Real,3,HealthStory,0.59252864
story_reviews_00893,Green coffee beans show potential for losing weight,Green coffee beans show potential for losing weight,1,Real,3,HealthStory,0.58467954
story_reviews_00294,Alternative medicine might help treat premature ejaculation,Alternative medicine might help treat premature ejaculation,1,Real,4,HealthStory,0.5823681
story_reviews_01164,Hormones may be better than soy for hot flashes,Hormones may be better than soy for hot flashes,1,Real,5,HealthStory,0.5798928
story_reviews_00027,"Antidepressants, psychotherapy may help ease irritable bowel syndrome","Antidepressants, psychotherapy may help ease irritable bowel syndrome",1,Real,3,HealthStory,0.57686365
story_reviews_00691,New treatment instantly relieves knee pain,New treatment instantly relieves knee pain,0,Fake,2,HealthStory,0.5757473
story_reviews_01456,Tai Chi improves symptoms of fibromyalgia,Tai Chi improves symptoms of fibromyalgia,1,Real,3,HealthStory,0.57341146
story_reviews_00617,New tests offer hope for millions of patients with irritable bowel syndrome,New tests offer hope for millions of patients with irritable bowel syndrome,0,Fake,1,HealthStory,0.57276857
story_reviews_00398,Drug shows promise for quick treatment of postpartum depression,Drug shows promise for quick treatment of postpartum depression,1,Real,4,HealthStory,0.57241565
story_reviews_01271,The Healthy Skeptic: telomerase activators,The Healthy Skeptic: telomerase activators,1,Real,3,HealthStory,0.57036436
story_reviews_01541,"In melanoma patients, immune therapy may boost survival","In melanoma patients, immune therapy may boost survival",1,Real,5,HealthStory,0.56880814
story_reviews_00875,Mixed message on antidepressant for hot flashes,Mixed message on antidepressant for hot flashes,1,Real,5,HealthStory,0.56363744
story_reviews_00673,Phone support can help ease postpartum depression,Phone support can help ease postpartum depression,1,Real,4,HealthStory,0.5626628
story_reviews_00689,Promising data bodes well for all-Achillion hep C treatment,Promising data bodes well for all-Achillion hep C treatment,0,Fake,2,HealthStory,0.5621562
story_reviews_00750,Folic acid linked to reduced risk of autism spectrum disorders,Folic acid linked to reduced risk of autism spectrum disorders,1,Real,4,HealthStory,0.5618476
story_reviews_00910,Study: Brain suffers when fish oil falls short,Study: Brain suffers when fish oil falls short,0,Fake,2,HealthStory,0.5618359
story_reviews_01207,Creatine supplements may benefit women with knee osteoarthritis,Creatine supplements may benefit women with knee osteoarthritis,0,Fake,2,HealthStory,0.56113976
story_reviews_01602,Liver supplements don’t seem to offer protection,Liver supplements don’t seem to offer protection,1,Real,5,HealthStory,0.5608875
story_reviews_00214,New study shows promise of yoga in treating back pain,New study shows promise of yoga in treating back pain,0,Fake,2,HealthStory,0.5595603
story_reviews_01695,"More evidence coffee, tea could prevent diabetes","More evidence coffee, tea could prevent diabetes",1,Real,4,HealthStory,0.5589414
story_reviews_01063,Research shows promise in reversing Type 1 diabetes,Research shows promise in reversing Type 1 diabetes,1,Real,5,HealthStory,0.55848277
story_reviews_00719,An avocado a day lowers cholesterol,An avocado a day lowers cholesterol,1,Real,3,HealthStory,0.55742437
story_reviews_01312,New drug promising against cholesterol,New drug promising against cholesterol,1,Real,3,HealthStory,0.5570509
