file_id,title,text,label,label_name,rating_float,dataset,topic_score
story_reviews_01271,The Healthy Skeptic: telomerase activators,The Healthy Skeptic: telomerase activators,1,Real,3,HealthStory,0.9357901
story_reviews_01658,Surgical procedure urged for atrial fibrillation,Surgical procedure urged for atrial fibrillation,1,Real,3,HealthStory,0.93114763
story_reviews_00808,Cervical cancer vaccine in early stages,Cervical cancer vaccine in early stages,1,Real,4,HealthStory,0.92811424
story_reviews_01173,"Mediterranean diet cuts heart, diabetes risk factors","Mediterranean diet cuts heart, diabetes risk factors",1,Real,3,HealthStory,0.9278656
story_reviews_01210,Breast-cancer study questions lymph node removal,Breast-cancer study questions lymph node removal,1,Real,4,HealthStory,0.9273468
story_reviews_00022,J&J's Stelara succeeds in chronic bowel disease study,J&J's Stelara succeeds in chronic bowel disease study,0,Fake,2,HealthStory,0.92608786
story_reviews_01596,Gene found that may predict lung cancer in smokers,Gene found that may predict lung cancer in smokers,1,Real,3,HealthStory,0.9251586
story_reviews_00012,Merck drug Keytruda succeeds in late-stage esophageal cancer trial,Merck drug Keytruda succeeds in late-stage esophageal cancer trial,0,Fake,1,HealthStory,0.92422754
story_reviews_00989,Medtronic tests stent for erectile dysfunction,Medtronic tests stent for erectile dysfunction,0,Fake,1,HealthStory,0.9229921
story_reviews_01516,Medtronic insulin pump beats injections in study,Medtronic insulin pump beats injections in study,0,Fake,1,HealthStory,0.92242223
story_reviews_01015,"Bran, soy help cut cholesterol","Bran, soy help cut cholesterol",0,Fake,2,HealthStory,0.92155457
story_reviews_00810,Covidien tools shown effective against PAD,Covidien tools shown effective against PAD,0,Fake,1,HealthStory,0.92120296
story_reviews_01686,Using CT scans to see plaque in coronary arteries,Using CT scans to see plaque in coronary arteries,1,Real,3,HealthStory,0.9211863
story_reviews_01251,Stem cell therapy for macular degeneration,Stem cell therapy for macular degeneration,1,Real,3,HealthStory,0.920869
story_reviews_00524,Merck's Keytruda extends survival in lung cancer study,Merck's Keytruda extends survival in lung cancer study,0,Fake,2,HealthStory,0.92077243
story_reviews_01480,In the Works: Immunotherapy for food allergies,In the Works: Immunotherapy for food allergies,1,Real,4,HealthStory,0.9204341
