file_id,text,label,label_name,rating_float,matched_terms
story_reviews_01365,"The researchers, who published their findings in The New England Journal of Medicine, noted that the deck might have been stacked in favor of a hazardous outcome because study participants, especially the group that received testosterone, had high rates of high blood pressure, diabetes, obesity and elevated blood lipids. Then again, this may be a realistic population to study, given that many candidates for hormone therapy are likely to have such health issues.

Advisement ‘in Limbo’

A $45 million study financed by the National Institute on Aging is under way at 12 medical centers to see if a year of treatment with testosterone will help 800 men aged 65 and older with low levels of the hormone and problems with physical functioning, fatigue and sexual or cognitive performance. The study, in which the men are being randomly assigned to receive the hormone or a look-alike placebo, will also evaluate the hormone’s effects on cardiac risk factors.

Still, this study will not answer the question of whether it is safe to use the hormone for years, even decades, which would be necessary to maintain any benefits. A major concern is whether long-term use would promote the growth of prostate cancer, which is present but hidden in as many as half of older men.

Photo

“There are not many good studies of testosterone in older men,” Dr. William J. Bremner, a urologist at the University of Washington in Seattle, said in an interview. “The studies are small and the longest of them lasted only three years. We need the same kind of study for testosterone as the Women’s Health Initiative — several thousand men followed for maybe 10 years. Currently, we’re in limbo as to how to advise patients.”

He acknowledged that the need for such a study for men is “less compelling” because, in contrast to women, who experience an abrupt drop in estrogen at menopause, often with disruptive symptoms, hormone decline in aging men is far more gradual, and symptoms, when they occur, are commonly viewed as normal signs of aging, not hormone deficiency.

A large European study published in the same issue of the journal sought to better determine who, among middle-aged and elderly men, might be candidates for testosterone replacement. Among a sample of 3,369 men aged 40 to 79, researchers at eight European medical centers found that “limited physical vigor” and three sexual symptoms — diminished sexual thoughts and morning erections and erectile dysfunction — were most closely linked to low levels of testosterone.

Newsletter Sign Up Continue reading the main story Please verify you're not a robot by clicking the box. Invalid email address. Please re-enter. You must select a newsletter to subscribe to. Sign Up You will receive emails containing news content , updates and promotions from The New York Times. You may opt-out at any time. You agree to receive occasional updates and special offers for The New York Times's products and services. Thank you for subscribing. An error has occurred. Please try again later. View all New York Times newsletters.

Although low hormone levels are widely thought to increase a man’s risk of depression, the researchers found that “psychological symptoms had little or no association with the testosterone level.”

There are four main approaches to testosterone therapy available in this country: intramuscular injections every one to three weeks; skin applications through a patch or gel; and pellets implanted under the skin that last for months. The patch can cause skin irritation, and the gel can be transferred to others through skin contact unless care is taken to cover the area where it is applied. But oral administration is rarely used because of toxic effects on the liver.

Advertisement Continue reading the main story

Weighing Help vs. Harm

The most common reason men seek testosterone therapy is waning sexual desire or performance, although the ability of the hormone to relieve sexual symptoms is unpredictable. More than one-quarter of men with normal testosterone levels have such symptoms, and many men with subnormal levels do not. Dr. Bremner said he typically suggests a trial of therapy for up to a year to see if sexual function or other symptoms improve.

Citing the results of many small studies, Dr. Bremner said, “There is good evidence that testosterone administration can improve muscle mass and strength and increase bone density” in men with subnormal levels. Dr. Abraham Morgentaler, a urologist at Harvard Medical School and author of “Testosterone for Life” (McGraw-Hill, 2009), said in an interview that other noted benefits include a decrease in body fat and total cholesterol and improved blood sugar metabolism.

In a report on the risks of testosterone therapy, written with Dr. Ernani Luis Rhoden and published in 2004 in The New England Journal of Medicine, Dr. Morgentaler noted that testosterone has widespread effects throughout the body, but he and Dr. Rhoden concluded that with proper monitoring, any looming hazards can be readily detected.

Before the most recent study, at doses considered normal, the testosterone gel showed little or no effect on cardiovascular risk, the two doctors reported. Injections could result in harmful thickening of the blood, however, especially if above-normal blood levels of the hormone result.

Although testosterone can cause overgrowth of the prostate, studies have not shown harm to urinary function, Dr. Morgentaler said. The risk of prostate cancer is of greater concern, given that suppressing the body’s natural production of testosterone can cause this cancer to regress. Men considering treatment should first undergo a full prostate exam and PSA measurement, with periodic prostate checkups during therapy, Dr. Bremner said.",1,Real,4,high blood pressure | blood pressure | diabetes | obesity | fatigue
story_reviews_00553,"(Reuters Health) - Many women with severe menopausal symptoms are not being treated for them even though safe, effective remedies are available, a study from Australia suggests.

A woman photographs roses at Regent's Park in London July 5, 2013. REUTERS/Neil Hall

The findings may be applicable to other countries, too, according to senior author Dr. Susan R. Davis from Monash University in Melbourne.

“From my interactions with colleagues from across the globe, I do not believe that what we have observed is Australian-specific,” she told Reuters Health by email. “The management of menopause has been relatively similar in the UK, the USA and in Australia.”

Up to half of women in menopause experience so-called vasomotor symptoms, such as hot flashes and night sweats. Hormone replacement therapy (HRT), which generally combines estrogen plus progestin, is very effective. But after the initial findings of the Women’s Health Initiative study showed that HRT can increase the risk of breast cancer, stroke and other serious problems, many women stopped using it.

As reported in the journal Menopause, in 2013 and 2014 Davis and her team analyzed survey responses from nearly 1,500 women ages 40 to 65.

Seventeen percent were having moderate to severe vasomotor symptoms, and 18 percent reported moderate to severe sexual symptoms.

But most were not receiving any kind of treatment. Only 11 percent reported use of HRT, and less than 1 percent were using any type of therapy that didn’t involve hormones.

The women who did use hormones were mostly taking pills containing estrogen, rather than preparations that are absorbed into the skin and that are potentially safer, the researchers found.

“Extrapolating our findings to 3.7 million Australian women aged 40 to 64 years, we found that 455,000 women are likely to have moderate to severe vasomotor symptoms, with most women (385,000) remaining untreated,” they write.

In addition, very few women were receiving vaginal estrogen therapy for sexual symptoms. Vaginal dryness is common with menopause and affects sexual functioning. Vaginal estrogen preparations are very safe and effective for this problem but were prescribed to less than 5 percent of the women, the authors say.

Why are so few women being treated?

“Overall, there is the uncertainty of women and of doctors as to what the options are, what is and is not safe, and of the safe options - what and how to prescribe them,” Davis said.

There is also, she said, a complete lack of understanding that for most women, these symptoms are not fleeting.

“It isn’t ‘grin and bear it for a few months’ and it will all pass, as many women suffer severe symptoms for five-plus years,” she said. “Women and doctors simply are not aware that symptoms can last this long.”

Finally, many women don’t realize that non hormonal options can be safe and effective, she added.

Dr. Wulf H. Utian, medical director of the North American Menopause Society, agrees that many reasons may underlie the lack of treatment. “It is partly ‘fall out’ from the controversy over hormone therapy,” he told Reuters Health in an email.

But overall, he said, it is a combination of patients not wanting therapy or not having information about it, and also the provider not prescribing it.

SOURCE: bit.ly/1hOWOoq Menopause, online July 31, 2015.",1,Real,3,stroke
story_reviews_01092,"En Español

By Denise Mann

HealthDay Reporter

MONDAY, May 16, 2011 (HealthDay News) -- Half of children with sleep apnea who also wet the bed might stop their bedwetting if their tonsils or adenoids are removed, new research suggests.

Obstructive sleep apnea (OSA) is marked by interruptions in breathing while asleep; it is common among children with enlarged tonsils or adenoids. Exactly how sleep apnea results in bedwetting is not fully understood, but hormonal changes may play a role.

However, half of the 417 children in this latest study who had sleep apnea and were bedwetters stopped wetting the bed after they had their tonsils or adenoids removed. Children in the study were aged 5 to 18, and were followed for just under one year after their surgery, on average.

Those who did not stop wetting the bed after the surgery were more likely to be born prematurely, be male, be obese or have a family history of bedwetting, the investigators noted. Premature birth was the greatest predictor of continued bedwetting after surgery.

""If they haven't seen an ear, nose and throat specialist, see one to see if the child who wets the bed has OSA that can be cured by tonsil or adenoid removal,"" said study author Dr. Yegappan Lakshmanan, chief of pediatric urology at Children's Hospital of Michigan, in Detroit.

The findings were to be presented Monday at the annual meeting of the American Urological Association (AUA), in Washington, D.C. Research presented at medical meetings should be viewed as preliminary until it has been published in a peer-reviewed medical journal.

There are many other causes of bedwetting, Lakshmanan said. ""About 5 to 7 million children are bedwetters, and the causes fall into three main groups: bladder issues, sleep-related problems and the kidneys,"" he explained. ""The children in this study wet the bed due to sleep-related problems.""

So why weren't they all cured? ""Bedwetting is multifactorial even within these groups, and eventually we should be able to pinpoint the cause for every single child,"" Lakshmanan said.

""There are several potential causes of bedwetting, and sleep apnea is clearly one of them,"" said Dr. Lane S. Palmer, chief of pediatric urology at the Cohen Children's Medical Center in New Hyde Park, N.Y.

""There are secondary positive effects of this tonsil- or adenoid-removing surgery, but I don't know that I would jump to have my child's tonsils or adenoids out as a primary treatment for bedwetting,"" he said. ""Children with sleep apnea and bedwetting should see an otolaryngologist first.""

""This study really underscores the fact that children who have other issues with sleep should be looked at for bedwetting because anything that depresses sleep at night can lead to bedwetting,"" said AUA spokesman Dr. Anthony Atala, a urologist at Wake Forest University in Winston-Salem, N.C.

""If a child has bedwetting, pay close attention to their sleep patterns, and observe them while they are asleep and you can see whether they are breathing at a regular pace, and if not, seek additional help,"" Atala said.

Children with sleep apnea can be difficult to rouse, which may cause the bedwetting, said Dr. Dennis Kitsko, an otolaryngologist at the Children's Hospital of Pittsburgh. ""But not every child with sleep apnea will wet the bed, and not every bedwetter will have sleep apnea.""

Still, ""snoring in children is abnormal,"" said Dr. Linda Dahl, an ear, nose and throat doctor at Lenox Hill Hospital in New York City. ""Children snore because their tonsils and adenoids are enlarged, and they end up getting other behaviors that go along with sleep apnea, including bedwetting,"" she explained.

""There are many ancillary benefits that you may not attribute to removing large tonsil and adenoids, such as putting an end to bedwetting,"" Dahl added.

More information

Find out more about bedwetting and its treatment at the Nemours Foundation.",1,Real,3,family history | hospital
story_reviews_00729,"A new asthma drug being developed by Sanofi and Regeneron Pharmaceuticals may help patients whose condition is not well controlled by existing medicines, according to the results of a small clinical trial released Tuesday.

In the 12-week study, the number of asthma attacks or other outbreaks of symptoms decreased by 87 percent in those getting the drug, dupilumab, compared with those getting a placebo.

Other measures of lung function and disease control also improved, according to the study results, which were published online Tuesday in The New England Journal of Medicine and presented at the annual meeting of the American Thoracic Society in Philadelphia.

Dupilumab blocks the action of interleukin-4 and interleukin-13, two inflammatory chemicals made by the body that are believed to contribute to asthma. Sanofi and Regeneron say there are also preliminary signs dupilumab works against the skin condition atopic dermatitis, suggesting it can be blocking a biological pathway that contributes to multiple allergic conditions.",1,Real,4,clinical trial
story_reviews_00467,"Despite considerable progress in prevention and treatment, heart disease continues to be the leading cause of death in the United States. When patients suffer from a heart attack or other cardiac event, it's critical that they get appropriate care and adopt lifestyle changes to prevent future damage.

Participating in a cardiac rehabilitation program has been proven to be particularly effective in helping patients recover and stay healthy. Research indicates that CR improves five-year mortality rates by 25 to 46 percent for patients following a heart attack or other cardiac event. In fact, CR has been given a Class 1A recommendation by the American Heart Association/American College of Cardiology Foundation for secondary prevention of coronary heart disease, making it a critical component of the standard of care.

In recent years, Intensive cardiac rehabilitation programs have been created as enhanced alternatives to ordinary CR. Patients and their physicians choose ICR programs over CR for at least three reasons: they are backed by published clinical evidence supporting their efficacy; they offer more complete education and exercise to improve patients' health; and they achieve greater patient adherence to the prescribed course of care.

ICR Programs Have Documented Results

Medicare covers both CR and ICR, but only ICR programs are required to meet specific efficacy standards. Each Medicare-approved ICR program must demonstrate through peer-reviewed published research that it has a positive impact on cardiac outcomes, such as decreasing the need for bypass surgery or stenting, and reduces specific risk factors for cardiovascular disease. One of the Medicare-approved programs, Pritikin ICR, is based on a lifestyle change program that has more than 100 peer-reviewed studies validating its effectiveness, including significantly reducing levels of cholesterol and triglycerides, body mass index and blood pressure, as well as reducing risk factors for diabetes, breast cancer, prostate cancer and other comorbidities. R. James Barnard, Ph.D., a researcher at the University of California–Los Angeles and a co-author of many of these studies, says, ""These studies have consistently shown the value of a more comprehensive approach to health – combining exercise with proper nutrition and a healthy mindset – at preventing, controlling or reversing common diseases, including heart disease, diabetes and hypertension, and have proven the long-term sustainability of these lifestyle changes."" When physicians refer their cardiac patients to an ICR program, they can have confidence knowing that the program has been proven to be effective.

ICR Offers More In-Depth Education on Lifestyle Change

In practice, ordinary CR is undertaken in a series of up to 36 individual sessions, and patients typically spend most of that time on exercise rather than education and counseling to modify cardiac risk factors. In contrast, Medicare covers 72 sessions of ICR, allowing patients to supplement the exercise portion of ordinary CR with an in-depth education about the relationship between lifestyle and cardiovascular health. Each day of ICR includes both an exercise class and at least one class with practical lessons on how to make better nutrition choices, manage stress, stop smoking or maintain a positive attitude. This type of education is crucial for many patients to recover from a cardiovascular event and optimize their health going forward.

Dr. Albert Krause, cardiac rehab medical director at CHRISTUS Health in Shreveport-Bossier, Louisiana, said that ICR ""allows hospitals to provide cardiac patients with a comprehensive education about critical lifestyle changes following a heart attack or other cardiac event. It is an essential component of our continuum of care, complementing the surgical and medical treatments we offer, to improve patients' long-term outcomes.""

ICR Achieves Better Patient Engagement

ICR programs also have improved patient engagement compared to ordinary CR. A study recently published in JAMA Internal Medicine found that only 62 percent of eligible cardiac patients are referred by their physician to a CR program, and only one-third of those patients actually attend the program. These patients attend an average of 20 to 24 sessions of ordinary CR, despite being prescribed up to 36 sessions. In comparison, a review of a sample of hospitals that recently implemented ICR programs all experienced a significantly higher level of patient adherence to the prescribed course of rehabilitation. Most of these hospitals averaged over 48 sessions per patient in the second half of 2015 – over double the industry average for ordinary CR.

As Dr. John Harvey, president and medical director of Oklahoma Heart Hospital, says: Patients report high levels of satisfaction with ICR and feel encouraged to stick with the program and adopt a heart healthy lifestyle.""",1,Real,3,cardiovascular disease | blood pressure | bypass surgery | heart disease | heart attack | hypertension | mortality | diabetes | hospital | patient | smoking
story_reviews_01582,"Enlarge Feature Photo Service Eli Lilly and Company manufactures Evista (raloxifene hydrochloride), part of a class of drugs called selective estrogen receptor modulators (SERMs). WHICH DRUG TO TAKE? WHICH DRUG TO TAKE? Gabriel Hortobagyi of Houston's M.D. Anderson Cancer Center says: • Younger women may choose tamoxifen; it prevents more cancers and hasn't been shown to cause endometrial cancer before menopause. It's also probably the best choice for postmenopausal women without a uterus. • Postmenopausal women may opt for raloxifene. It's safe and still offers a lot of protection. HEALTH REPORTER TWEETS HEALTH REPORTER TWEETS A common osteoporosis drug, raloxifene, reduces breast cancer risk by 38% in women at high risk for the disease, without causing the serious side effects of similar drugs, a new study shows. That suggests more high-risk women should consider taking raloxifene, also known as Evista, says Victor Vogel, main author of the study presented Monday at the American Association for Cancer Research meeting in Washington. READER FORUM: Living with Cancer BREAST PROBLEMS: Linked to teen girls' drinking EXPERTS: One-third of breast cancer cases avoidable ""It's not a cure ... but it's an important protection for women who are at very high risk,"" says Vogel, who followed nearly 20,000 high-risk, postmenopausal women for almost seven years. Both raloxifene and another drug, tamoxifen, are approved to prevent breast cancer in women at high risk. Few women take them for prevention, however, because of concerns about side effects. Tamoxifen reduces breast cancer by 50% but can also cause hot flashes and other symptoms. So about half of breast cancer patients, who often take it to prevent a relapse, stop the drug early, says study co-author Lawrence Wickerham of Allegheny General Hospital. Tamoxifen also doubles the risk of endometrial cancer, from about one in 1,000 women to about two in 1,000, according to the National Cancer Institute, so many doctors are cautious about prescribing it. Given these concerns, no more than 5% of high-risk women today ""even consider taking"" either drug, says Gabriel Hortobagyi of Houston's M.D. Anderson Cancer Center, who wasn't involved with the study but will participate in a panel discussion at the conference. ""The impact of these drugs is huge,"" he says. ""The only thing that reduces the risk as much is a bilateral mastectomy."" The new study — which shows that raloxifene doesn't substantially increase the risk of endometrial cancer — should put those concerns to rest, says co-author Patricia Ganz, who runs a clinic for high-risk women at the University of California-Los Angeles. ""We have two very effective agents for breast cancer prevention,"" Ganz says. ""If women were not so risk-averse, we might actually be able to reduce the risk of breast cancer in high-risk women."" A typical American woman has about a 12% chance of getting breast cancer in her lifetime. That risk rises to about 18% for a woman whose mother or sister has had the disease, and to 30% for a woman with a breast lesion called atypical hyperplasia, Ganz says. Guidelines: You share in the USA TODAY community, so please keep your comments smart and civil. Don't attack other readers personally, and keep your language decent. Use the ""Report Abuse"" button to make a difference. You share in the USA TODAY community, so please keep your comments smart and civil. Don't attack other readers personally, and keep your language decent. Use the ""Report Abuse"" button to make a difference. Read more",1,Real,3,hospital
story_reviews_00718,"En Español

By Steven Reinberg

HealthDay Reporter

MONDAY, Jan. 12, 2015 (HealthDay News) -- School readiness isn't the only benefit young children can gain from Head Start. A new study finds that kids in the U.S. preschool program tend to have a healthier weight by kindergarten than similarly aged kids not in the program.

In their first year in Head Start, obese and overweight kids lost weight faster than two comparison groups of children who weren't in the program, researchers found. Similarly, underweight kids bulked up faster.

""Participating in Head Start may be an effective and broad-reaching strategy for preventing and treating obesity in United States preschoolers,"" said lead researcher Dr. Julie Lumeng, an associate professor at the University of Michigan Center for Human Growth and Development.

Federally funded Head Start, which is free for 3- to 5-year-olds living in poverty, helps children prepare for kindergarten. The program is designed to build stable family relationships, improve children's physical and emotional well-being and develop strong learning skills.

Health benefits, including weight loss, seem to be a byproduct of the program, said Dr. David Katz, director of the Yale University Prevention Research Center.

""This paper importantly suggests that some of the best strategies for controlling weight and promoting health may have little directly to do with either,"" said Katz, who wasn't involved in the study.

Head Start might provide a structured, supervised routine that's lacking in the home, Katz suggested. ""Perhaps the program fosters better mental health in the children, which in turn leads to better eating,"" he said.

""Whatever the exact mechanisms, by fostering well-being in one way, we tend to foster it in others, even unintended,"" Katz said. ""The essence of this study is the holistic nature of social, psychological and physical health.""

Almost one-quarter of preschool-aged children in the United States are overweight or obese, and obesity rates within Head Start populations are higher than national estimates, the study authors noted. Because obesity in childhood tends to continue into adulthood, experts worry that these children are at risk of future health problems.

For the study, Lumeng's team collected data on more than 43,700 Michigan preschool-age children between 2005 and 2013. More than 19,000 were in Head Start. Information on the others -- 5,400 of whom were on Medicaid, the publicly financed insurance program for the poor -- came from two primary health care groups. Whether those children were in another preschool program wasn't stated.

At the study's start, about one-third of the Head Start kids were obese or overweight, compared to 27 percent of those on Medicaid and less than 20 percent of kids not on Medicaid.

""Even though children in the Head Start group began the observation period more obese, equally overweight, and moreunderweight than children in the comparison groups, at the end of the observation period the initially obese and overweight Head Start children were substantially less obese andoverweight than the children in the comparison groups,"" the authors wrote.

Lumeng said an emphasis on good nutrition and exercise may partly explain the perceived Head Start advantage.

""Head Start programs must adhere to specific dietary guidelines,"" she said. ""The children may be served healthier meals at Head Start than other children.""

In addition, Head Start requires a certain amount of active play each day, Lumeng said. ""Thus, children attending Head Start may be getting more opportunities for physical activity than other children,"" she explained.

The daily routine might translate into less TV time and more regular sleep schedules, she said. ""We know that better sleep is linked with less obesity,"" she added.

""It [also] may be that when kids go to Head Start, it reduces stress in the household and frees up time and resources at home to dedicate to healthier eating patterns,"" she noted.

The report was published Jan. 12 online in the journal Pediatrics.

More information

For more on childhood obesity, visit the U.S. Centers for Disease Control and Prevention.",1,Real,3,weight loss | obesity | age
story_reviews_01005,"Sept. 6, 2011 -- ""A drink a day keeps disease away"" may be the new motto for middle-age women hoping to age gracefully.

A new study shows women who drank the equivalent of a beer or small glass of wine each day were less likely to develop chronic diseases like heart disease, cancer, and diabetes as they got older compared to nondrinkers or those who drink four or more drinks at one time.

In the study, researchers looked at the effects of drinking alcohol at midlife on the risk of diseases commonly associated with aging in a group of 13,894 women enrolled in the Nurses' Health Study.

The women filled out questionnaires about what they ate and drank at midlife, about age 58. Researchers then analyzed health status information collected after the women turned 70.

After taking into account other factors that might affect health and disease risk, like smoking, researchers found women who drank light or moderate amounts of alcohol were less likely to develop chronic diseases as they aged.

For example, compared to nondrinkers, women who drank up to one alcoholic drink per day were 20% more likely to be disease-free at age 70 than nondrinkers.",0,Fake,1,heart disease | diabetes | smoking | age
story_reviews_00360,"An inhaler that protects the lungs against air pollution has been developed by scientists and could help the many millions of people affected by toxic air to avoid its worst effects.

The inhaler delivers a molecule, first found in bacteria in the Egyptian desert, which stabilises water on the surface of the lung cells to form a protective layer. It is expected to be available as an inexpensive, over-the-counter product.

Outdoor air pollution is a global health crisis that kills over 3 million people a year and it has long been linked to lung and heart disease and strokes. But research is also uncovering new impacts on health, including degenerative brain diseases such as Alzheimer’s, mental illness and, this week, diabetes.

The impact of air pollution costs $5tn a year, according to a World Bank report published last week. In the UK, at least 40,000 people a year die prematurely from air pollution, with a cross-party committee of MPs calling it a “public health emergency”.

But the government’s plans to tackle the issue were heavily criticised this week, just as alerts were issued for extreme air pollution across much of northern England. A day later, it was announced that more ambitious plans for London from Mayor Sadiq Khan were overwhelmingly backed by the public.

Vehicles are a key contributor to air pollution but, a year after the VW emissions scandal broke, most new diesel cars still emit far more toxic nitrogen oxides on the road than the official lab-based limit.

Action to clean up air is urgently needed across the world, but cutting emissions for vehicles and other sources will take years, meaning ways to reduce the harm in the meantime could be vital. The new inhaler has been developed by German medical devices company Bitop and is based on a molecule called ectoine, discovered in the 1980s in a desert bacterium which uses the compound to conserve water in 60C heat.

“It is quite an inert molecule that does one main thing, which is bind water, which stabilises cell membrane tissues against physical or chemical damage,” said Dr Andreas Bilstein, at Bitop. “It supports the natural barrier.”

When inhaled, this helps prevent the damage caused by air pollution particles that can lead to asthma, chronic obstructive pulmonary disease (COPD) and lung cancer, Bilstein said: “Damage cannot occur as strongly and there is less inflammatory response, and so disease progression is reduced. The perfect situation is that the patient inhales in the morning and evening at home.”

The inhaler has been tested in three small groups of patients particularly at risk from air pollution, due to asthma, COPD and bronchitis, with the positive results due to be published soon, Bilstein said.

Ectoine does not interact with cell receptors, so it is classed as a medical device rather than a drug. This means large clinical trials are not required for official approval and the inhaler could be on sale soon, at an estimated cost of £17 a month, after Bitop selects a marketing partner. A version of the product for use in nebulisers will be available this year in Germany and Poland, while an ectoine-based nasal spray for allergy relief is already available.

Bilstein said the inhaler could be useful around the world, as particulate air pollution is not just a European problem: “Especially in Asia – China in particular – the demand for such a product is even higher. I was in New York last week, and the air was also not very clean.”

The protective effect of ectoine was discovered by Prof Jean Krutmann and colleagues at the Leibniz Research Institute for Environmental Medicine, while investigating whether the molecule could protect skin against sun damage. Bitop funded a series of studies, now published in prominent scientific journals.

“The point that it can prevent the lung inflammation induced by ultrafine particles is established – there is no more doubt,” Krutmann said. Antioxidants can also provide some protection but there has been controversy over the effectiveness of such food supplements, he said: “Personally, I think it is much better to eat lots of vegetables and fruit rather than taking any supplements.”

Dr Richard Russell, a consultant respiratory physician in the NHS and medical advisor to the British Lung Foundation, who was not involved in the research, said the inhaler was both credible and promising: “Ectoine is a beautifully elegant molecule and it clearly works by helping water to stabilise, giving you a film of water in times of stress.”

“The work that has been published thus far, in credible, internationally recognised journals, show that this stuff has positive properties, protecting against triggered inflammation,” he told the Guardian. Russell, who also lectures at Imperial College and Oxford University, said it might also be useful for the treatment of asthma, COPD and other lung diseases, not only prevention. “It could potentially do so much more. It is actually quite exciting and there is clearly a lot more to come from this story.”

Krutmann said slashing air pollution remained paramount. “It is very nice to be able to protect people against the detrimental effects, but this should not be used as an argument that we can now stop working on reducing particulate [air pollution]. The best thing is that we have clean air because then we don’t need any prophylactic treatment. But on the other hand we have to be realistic and in many countries you cannot just switch traffic overnight to electric cars and do other drastic things.”

“It will take many more years, especially in countries like China, and I think there is an ethical need to provide something to the general population to protect them,” he said.",1,Real,3,heart disease | diabetes | patient
story_reviews_00586,"A growing body of evidence suggests that weight-loss surgery is more effective than diet and exercise at getting rid of Type 2 diabetes.

A small but rigorous randomized trial published Wednesday in JAMA Surgery provides the latest evidence showing the superiority of bariatric surgery over lifestyle changes in resolving the chronic condition involving high blood sugar.

In the trial, 61 obese adults with diabetes were randomly assigned to one of two surgical procedures or intensive lifestyle intervention and followed for three years. Forty percent of those who had received a gastric bypass procedure and 29% who received a gastric band were considered in remission from diabetes and no longer needed to take medication after three years. In comparison, no one in the group who received intensive lifestyle intervention resolved their diabetes.

“I do think it adds strongly to the growing body of data that [surgery] should be considered” to treat people with obesity and diabetes, said Anita Courcoulas, head of minimally invasive bariatric and general surgery at the University of Pittsburgh School of Medicine, who led the study.

However, to conclude firmly that surgery is the better option, data from more patients across several different treatment centers, followed for up to seven years after surgery, is needed, according to Dr. Courcoulas. Her group is conducting such a study, along with researchers from the University of Washington in Seattle, the Joslin Diabetes Center in Boston and the Cleveland Clinic.

The American Diabetes Association lists surgery as one option in its 2015 medical care guidelines for diabetic patients with a body-mass index over 35 but says there is insufficient evidence of benefit in those who are less overweight.

“In general, I agree that short-term outcomes for bariatric surgery...are more dramatic than that seen with lifestyle intervention,” wrote Jane Chiang, senior vice president for medical affairs and community information at the American Diabetes Association, in an email. However, “not everyone is a strong candidate for bariatric surgery.” Treatment should be tailored to each patient, she said.

The ADA’s Professional Practice Committee, which develops its medical guidelines, will carefully review the study and assess if any changes to clinical practice are warranted, according to Dr. Chiang.

In 2011, the International Diabetes Federation announced a position change stating that surgical options should be considered earlier on for eligible patients to help prevent complications from Type 2 diabetes.

The new study, which began in 2009, didn’t look at a bariatric surgery procedure that has become popular in recent years, known as the sleeve gastrectomy, said Dr. Courcoulas. However, a study by the Cleveland Clinic published last year in the New England Journal of Medicine did, and found a similar significant improvement in Type 2 diabetes after bariatric surgery procedures, including the sleeve gastrectomy, over lifestyle intervention.

Why bariatric surgery clears up diabetes isn’t fully understood and patients have different degrees of response to the procedures, said Dr. Courcoulas. Patients who undergo surgery usually lose significantly more weight than those receiving lifestyle intervention, but their diabetes often clears up before they lose a significant amount of weight, suggesting that weight loss alone isn’t the reason.

Some doctors say gastric bypass surgery appears especially beneficial, possibly because the procedure involves reducing the stomach to the size of a small pouch and bypassing a portion of the intestine, which potentially changes certain gastrointestinal hormones or other factors.

Michel Gagner, a clinical professor of surgery at Florida International University who wasn’t involved in the study but wrote an editorial accompanying the piece in the journal, said bariatric surgery should be used much more widely to treat diabetes, the way that heart surgery was widely used to treat coronary artery disease.

“I don’t know how many studies we need to do to keep comparing the best medical treatment to surgery, but it’s clear to me that surgery is the only thing that offers resolution to diabetes,” said Dr. Gagner.

Write to Shirley S. Wang at shirley.wang@wsj.com",1,Real,3,coronary artery disease | lifestyle intervention | type 2 diabetes | bypass surgery | weight loss | diabetes | obesity | patient
